ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
Prestamo 294063036 (saldo),,," ?900,000 ",Nuevo dic 2025,,,,,,,,,,,,,,,
Total Pasivo Largo Plazo,,," ?6,200,000 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL PASIVOS,,," ?7,535,503 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATRIMONIO,,,,,,,,,,,,,,,,,,,
Capital Social Pagado,,," ?100,000 ",Capital social minimo,,,,,,,,,,,,,,,
Utilidades Retenidas Acumuladas,,," ?271,388 ",Saldo historico + utilidad 2025,,,,,,,,,,,,,,,
Total Patrimonio,,," ?371,388 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL PASIVO + PATRIMONIO,,," ?7,906,891 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
INDICADORES FINANCIEROS 2025,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
INDICADORES DE RENTABILIDAD,Valor,Interpretacion,,,,,,,,,,,,,,,,,
Margen Bruto,57.85%,EXCELENTE - muy por encima de industria (60-65%),,,,,,,,,,,,,,,,,
Margen Operativo (EBIT),29.41%,EXCELENTE - muy rentable operativamente,,,,,,,,,,,,,,,,,
Margen EBITDA,30.03%,EXCELENTE - fuerte generacion de caja,,,,,,,,,,,,,,,,,
Margen Neto,27.56%,EXCEPCIONAL - alta rentabilidad final,,,,,,,,,,,,,,,,,
ROA (Utilidad Neta / Activos),337.16%,MUY ALTO - activos muy productivos,,,,,,,,,,,,,,,,,
ROE (Utilidad Neta / Patrimonio),7177.8%,EXTRAORDINARIO - bajo capital invertido,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INDICADORES DE LIQUIDEZ,Valor,Interpretacion,,,,,,,,,,,,,,,,,
Indice de Solvencia (AC/PC), ?5.32 ,EXCELENTE - muy buena capacidad de pago,,,,,,,,,,,,,,,,,
Prueba Acida ((AC-Inv)/PC), ?5.08 ,EXCELENTE - liquidez inmediata alta,,,,,,,,,,,,,,,,,
Capital de Trabajo," 5,771,388 ",POSITIVO - holgura financiera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INDICADORES DE ENDEUDAMIENTO,Valor,Interpretacion,,,,,,,,,,,,,,,,,
Nivel de Endeudamiento (Pasivo/Activo),95%,ALTO - pero manejable por flujo de caja,,,,,,,,,,,,,,,,,
Apalancamiento (Pasivo/Patrimonio),20.29,ALTO - financiado principalmente con deuda,,,,,,,,,,,,,,,,,
Cobertura de Intereses (EBIT/Intereses),20.31,EXCELENTE - muy buena capacidad de pago,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INDICADORES DE ACTIVIDAD,Valor,Interpretacion,,,,,,,,,,,,,,,,,
Rotacion de Inventarios,24,veces al ano (cada 15 dias),,,Ciclo de Caja:,, 3.48 ,,,,,,,,,,,,
Ciclo de Caja,15,dias - inventario a ventas rapido,,,Dias de Inventario," 2,015,382.33 ", 7.00 ,,,,,,,,,,,,
,,,,,Dias de CXC (vta contado),0,0,,,,,,,,,,,,
================================================================================,,,,,Dias de CXP ,, 3.52 ,Pedir m�s cr�dito a proveedores para que el apalancamiento no sea solo bancario y libere capacidad financiera para el crecimiento del negocio con nvas sucursales,,,,,,,,,,,
NOTAS A LOS ESTADOS FINANCIEROS,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTA 1: POLITICAS CONTABLES,,,,,,,,,,,,,,,,,,,
a) Metodo de depreciacion: Linea recta a 10 anos para equipos de cocina,,,,,,,,,,,,,,,,,,,
b) Inventarios: Valuados a costo promedio,,,,,,,,,,,,,,,,,,,
c) Ingresos: Reconocidos al momento de la venta (contado),,,,,,,,,,,,,,,,,,,
d) Regimen fiscal: Simplificado (no paga renta solo IVA trimestral),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTA 2: DEPRECIACION DE EQUIPOS,,,,,,,,,,,,,,,,,,,
Inversion total en equipos desde 2018: USD 10000 (Col. 5036500),,,,,,,,,,,,,,,,,,,
Detalle:,,,,,,,,,,,,,,,,,,,
Ano,Inversion USD,Inversion Colones,Descripcion,,,,,,,,,,,,,,,,
2018," ?6,000 "," ?3,021,900 ",Cocinas freidoras mesones extraccion neveras,,,,,,,,,,,,,,,,
2019," ?2,000 "," ?1,007,300 ",Amasadora y mobiliario,,,,,,,,,,,,,,,,
2020-2022," ?2,000 "," ?1,007,300 ",Congeladores y laminadora,,,,,,,,,,,,,,,,
